Campo1,Más comúnes,Id,Nombre,Abreviatura,Nombre en español,Especie,Género,Familia,Tamaño,Tipo de genoma,Grupo de Baltimore,Modo de transmisión,Enfermedades que puede provocar,manchas_marron,manchas_verde,manchas_amarillo,deformacion_hoja,clorosis,purpura_hoja,anillos_verde,anillos_amarillo,fruto_reducido,crecimiento,pardeamiento_fruto,enrollamiento,tallo_marron,menos_frutos,deformacion_fruto,necrosis,afidos,trips,nematodos,chicharrita,mosquitasb,propagacion,transmision,semillas,polen,abejorros,orosius,Infección por,Datos adicionales,Referencias
11,0,20,Cucumber mosaic virus,CMV,Virus del mosaico del pepino,Cucumber mosaic virus,Cucumovirus,Bromoviridae,30 nm,sin segmentar,"IV, V","Vector, Contaminación cruzada",,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,"Áfidos, Transmisión mecánica","La distorsión de la hoja asociada con algunas de estas enfermedades virales a menudo se confunde con
lesiones resultantes de la exposición a herbicidas fenoxi, el herbicida ataca a todas las plantas por igual, a diferencia del virus.",https://hnr.k-state.edu/extension/horticulture-resource-center/common-pest-problems/documents/tomato-cucumber-mosaic.pdf
12,0,21,Ethiopian tobacco bushy top virus satellite RNA,ETBTV,Satélite RNA de virus de la copa tupida del tabaco Etiopía,Ethiopian tobacco bushy top virus,Umbravirus,Tombusviridae,25-30 nm,sin segmentar,III,Vector,,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Áfidos,"Una combinación novedosa de un nuevo umbravirus, un nuevo ARN satélite y el virus del enrollamiento de la hoja de la papa causa la enfermedad de la copa arbustiva del tabaco en Etiopía.",https://bsppjournals.onlinelibrary.wiley.com/doi/full/10.1002/ndr2.12015
13,0,22,Parietaria mottle virus,PMoV,Virus del moteado de la parietaria,Parietaria mottle virus,Ilarvirus,Bromoviridae,24-36 nm,segmentado,IV,"Propagación vegetativa, Contaminación cruzada",,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,"Propagación vegetativa, Transmisión mecánica","Las plantas infectadas primero desarrollan un mosaico necrótico en las hojas luego se transforma en necrosis del tallo y el ápice, después mueren. Finalmente, aparecen nuevos brotes asintomáticos y se repite el ciclo.",https://bsppjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3059.2005.01109.x
14,0,23,Pelargonium zonate spot virus,PZSV,Virus de las manchas por zonas del pelargonio,Pelargonium zonate spot virus,Anulavirus,Bromoviridae,25-35 nm,segmentado,IV,"Propagación vegetativa, Contaminación cruzada, Semillas, Polen",,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,"Propagación vegetativa, Transmisión mecánica, Semillas, Polen","Estas enfermedad fue observada por primera vez en 2007 en la región de Lachish, Israel.","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-100-8-0798#:~:text=Pelargonium%20zonate%20spot%20virus%20(PZSV)%20belongs%20to%20the%20family%20Bromoviridae,segments%20that%20encode%20four%20proteins."
15,0,24,Pepino mosaic virus,PepMV,Virus del mosaico del pepino,Pepino mosaic virus,Potexvirus,Flexiviridae,11 nm,sin segmentar,IV,"Vector, Semillas, Contaminación cruzada",,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,"Abejorros polinizadores, Transmisión mecánica, Semillas",Estudios de biología molecular muy recientes han permitido reducir el número de cepas de PeMV a cinco por el momento (2021).,http://sef.es/sites/default/files/pathogen_documents/Pepino%20mosaic%20virus%20%28Virus%20del%20mosaico%20del%20pepino%20dulce%29.pdf
16,0,25,Pepper golden mosaic virus,PepGMV,Virus del mosaico dorado de la pimienta,Pepper golden mosaic virus,Begomovirus,Geminiviridae,npi,segmentado,II,Vector,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mosquitas blancas,Una alternativa efectiva para el manejo de este virus que no representa riegos biológicos es el uso de genotipos resistentes o tolerantes a este patógeno.,https://pubmed.ncbi.nlm.nih.gov/30812435/
17,0,26,Potato spindle tuber viroid,PSTVd,Viroide tubérculo fusiforme de la papa,Potato spindle tuber viroid,Pospiviroid,Pospiviroidae,40 nm,sin segmentar,"IV, V","Polen, Semillas, Propagación vegetativa, Contaminación cruzada",,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,"Propagación vegetativa, Transmisión mecánica, Semillas, Polen","Para reducir la propagación dentro de un cultivo: limite el movimiento de maquinaria, vehículos y personas.",https://pubmed.ncbi.nlm.nih.gov/11763132/
18,0,27,Potato virus Y,PVY,Virus Y de la papa,Potato virus Y,Potyvirus,Potyviridae,730 nm,sin segmentar,IV,Vector,,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Áfidos,Existen cinco cepas de este virus.,"http://ve.scielo.org/scielo.php?script=sci_arttext&pid=S1316-33612016000200001#:~:text=El%20Potato%20virus%20Y%20(PVY)%20(Potyvirus%2C%20Potyviridae),%2C%20piment%C3%B3n%20(Capsicum%20spp.)"
19,0,28,Tobacco curly shoot virus,TbCSV,Virus del brote rizado del tabaco,"
Tobacco curly shoot virus",Begomovirus,Geminiviridae,npi,sin segmentar,II,Vector,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mosquitas blancas,Provoca pérdidas importantes de tábaco y tomate en China.,https://link.springer.com/article/10.1007/s11262-014-1141-1
20,0,29,Tobacco etch virus,TEV,Virus del grabado del tomate,Tobacco etch virus,Potyvirus,Potyviridae,730 nm,sin segmentar,IV,Vector,,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Áfidos,El uso de mantillos orgánicos y de papel de aluminio ha contribuido a retrasar la propagación del virus y ha resultado en una reducción de la incidencia del virus y un aumento de los rendimientos.,https://www.plantwise.org/knowledgebank/datasheet/54134
21,0,30,Tobacco yellow dwarf virus,TYDV,Virus del enanismo amarillo del tabaco,Tobacco yellow dwarf virus,Mastrevirus,Geminiviridae,npi,sin segmentar,II,Vector,,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Orosius argentatus,Se ha reportado en Australia.,https://www.apsnet.org/publications/phytopathology/backissues/Documents/1980Articles/Phyto70n03_214.pdf
22,0,31,Tomato Apical Leaf Curl Virus,ToALCV,Virus del enrollamiento apical de la hoja del tomate,Tomato Apical Leaf Curl Virus,Topilevirus,Geminiviridae,2.5-5.2 kb,sin segmentar,II,Vector,,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npi,Presente en Argentina.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5770407/
23,0,32,Tomato apical stunt viroid,TASVd,Viroide del enanismo apical del tomate,Tomato apical stunt viroid,Pospiviroid,Pospiviroidae,239-401 nucleotides,sin segmentar,IV/V,Vector,,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,Abejorros,"La enfermedad del enanismo apical del tomate se describió por primera vez en tomate en Costa de Marfil, África, en 1980.",https://www.cabi.org/isc/datasheet/52804
24,0,33,Tomato aspermy virus,TAV,Virus de la aspermia del tomate,Tomato aspermy virus,Cucumovirus,Bromoviridae,30 nm,segmentado,IV,Vector,Síntoma de agujeta,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Áfidos,Originalmente se nombró chrysanthemum aspermy virus.,http://colposdigital.colpos.mx:8080/xmlui/bitstream/handle/10521/2000/Perez_Rojas_M%20_MC_Fitopatologia_2013.pdf?sequence=1
25,0,34,Tomato black ring virus,TBRV,Virus del anillo negro del tomate,Tomato black ring virus,Nepovirus,Secoviridae,30 nm,segmentado,IV,"Vector, Semillas, Contaminación cruzada, Polen",,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,"Nematodos, Polen, Semillas, Transmisión mecánica",El primer reporte detectado en plantas de tomate fue en el Reino Unido en 1946 por Smith.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8071906/#:~:text=Symptoms%20included%20mottling%2C%20deformation%2C%20necrosis,collected%20samples%20in%20this%20study."
26,0,35,Tomato blistering mosaic virus,ToBMV,Virus del mosaico de la ampolla del tomate,Tomato blistering mosaic virus,Tymovirus,Tymoviridae,25-30 nm,sin segmentar,IV,Contaminación cruzada,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Transmisión mecánica,Se ha reportado su aparición en Argentina.,https://link.springer.com/article/10.1007/s00705-019-04262-5
27,0,36,Tomato brown rugose fruit virus,ToBRFV,Virus del fruto rugoso marrón del tomate,Tomato brown rugose fruit virus,Tobamovirus,Virgaviridae,npi,sin segmentar,IV,"Semillas, Contaminación cruzada",,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Semillas, Transmisión mecánica",,"https://bsppjournals.onlinelibrary.wiley.com/doi/10.1111/mpp.13229?af=R#:~:text=Disease%20symptoms&text=Yellow%20blotches%2C%20brown%20or%20black,and%20necrotic%20blotches%20on%20fruits."
28,0,37,Tomato bushy stunt virus,TBSV,Virus del enanismo arbustivo del tomate,Tomato bushy stunt virus,Tombusvirus,Tombusviridae,33 nm,sin segmentar,IV,"Semillas, Contaminación cruzada",,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,"Semillas, Transmisión mecánica","
El TBSV se aisló por primera vez del tomate en 1935 en Irlanda, y más tarde también se observó en Inglaterra.",https://bsppjournals.onlinelibrary.wiley.com/doi/10.1111/j.1364-3703.2005.00301.x
29,0,38,Tomato chino La Paz virus,ToCLPV,Virus Del Chino Del Tomate La Paz,Tomato chino La Paz virus,Begomovirus,Geminiviridae,npi,sin segmentar,II,Vector,,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mosquitas blancas,"Desde 2001, se han observado síntomas de enfermedades similares a geminivirus en plantas de tomate en la Península de Baja California en México.",https://apsjournals.apsnet.org/doi/10.1094/PD-90-0973B
30,0,39,Tomato chlorosis virus,ToCV,Virus de la clorosis del tomate,Tomato chlorosis virus,Crinivirus,Closteroviridae,12 nm,segmentado,IV,Vector,,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Mosquitas Blancas,"Durante los 22 años desde que se confirmó la presencia de ToCV en EE. UU., se ha observado una progresión lineal de la enfermedad en todo el mundo. (2019)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6715620/#:~:text=Symptoms%20first%20develop%20on%20lower,mild%20yellowing%20on%20older%20leaves."
31,0,40,Tomato chlorotic dwarf viroid,TCDVd,Viroide enano clorótico del tomate,Tomato chlorotic dwarf viroid,Pospiviroid,Pospiviroidae,npi,sin segmentar,"IV, V",Contaminación cruzada,,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Transmisión mecánica,"En Canadá, fue primero
detectado en tomates de invernadero, en Manitoba en 1996. Fue erradicado con éxito y no ha sido reportado desde entonces. (2021)",https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/agriculture-and-seafood/animal-and-crops/plant-health/phu-tomatochlorotic-dwarfviroidss.pdf
32,0,41,Tomato Chlorotic Spot Virus,TCSV,Virus de la mancha clorótica del tomate,Tomato Chlorotic Spot Virus,Tospovirus,Bunyaviridae,npi,segmentado,V,Vector,,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Trips,"La distribución geográfica de TCSV en Florida no se conoce más allá de los condados de Miami-Dade y Lee. Considerando la amplia distribución de trips, el TCSV tiene la capacidad de expandirse significativamente.",https://edis.ifas.ufl.edu/pdf/PP/PP30600.pdf
33,0,42,Tomato chocolate spot virus,ToChSV,Virus de la mancha de chocolate del tomate,Tomato chocolate spot virus,Torradovirus,Secoviridae,28-30 nm,segmentado,IV,Vector,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Mosquitas blancas,Se recolectaron muestras de hojas y pecíolos con síntomas de manchas de chocolate de plantas de tomate durante encuestas realizadas en Guatemala de 2003 a 2006.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2880234/
34,0,43,Tomato curly stunt virus,ToCSV,Virus de la hoja amarilla arrugada del tomate,Tomato curly stunt virus,Begomovirus,Geminiviridae,npi,sin segmentar,II,,,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Mosquitas blancas,,https://www.researchgate.net/publication/230236932_Characterization_of_Tomato_curly_stunt_virus_A_new_tomato-infecting_begomovirus_from_South_Africa
35,0,44,Tomato dwarf leaf virus,ToDLV,Virus de la hoja enana del tomate,Tomato dwarf leaf virus,Begomovirus,Geminiviridae,npi,segmentado,II,Vector,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mosquitas blancas,"Las  pérdidas ocasionadas para los productores pueden variar entre el 20 y el 100 por ciento según la campaña, la edad en que se infectó el cultivo y la región productora.",https://pubmed.ncbi.nlm.nih.gov/22718220/
36,0,45,Tomato golden mosaic virus,TGMV,Virus del mosaico dorado del tomate,Tomato golden mosaic virus,Begomovirus,Geminiviridae,npi,segmentado,II,Vector,,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mosquitas blancas,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC454414/
37,0,46,Tomato marchitez virus,ToMarV,Virus marchitez del tomate,Tomato marchitez virus,Torradovirus,Secoviridae,npi,segmentado,IV,Vector,,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Mosquitas blancas,En 2007 se reportó en México y desde entonces ha sido encontrado en EUA y Guatemala.,https://pubmed.ncbi.nlm.nih.gov/35746722/
38,0,47,Tomato mild mosaic virus,ToMIMV,Virus del mosaico leve del tomate,Tomato mild mosaic virus,Begomovirus,Geminiviridae,npi,segmentado,II,,,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
39,0,48,Tomato mild mottle virus,ToMMoV,Virus del moteado leve del tomate,Tomato mild mottle virus,Ipomovirus,Potyviridae,npi,sin segmenar,IV,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
40,0,49,Tomato mosaic virus,TMV,Virus del mosaico del tomate,Tomato mosaic virus,Tobamovirus,Virgaviridae,npi,sin segmentar,IV,,,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
41,0,50,Tomato necrotic dwarf virus,ToNDV,Virus del enanismo necrótico del tomate,Tomato necrotic dwarf virus,Torradovirus,Secoviridae,npi,segmentado,IV,,,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
42,0,51,Tomato necrotic streak virus,TomNSV,Virus de la raya necrótica del tomate,Tomato necrotic streak virus,Ilarvirus,Bromoviridae,npi,segmentado,IV,,,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
43,0,52,Tomato severe leaf curl virus,ToSLCV,Virus severo del enrollamiento de la hoja del tomate,Tomato severe leaf curl virus,Begomovirus,Geminiviridae,npi,sin segmentar,II,,,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
44,0,53,Tomato severe rugose virus,ToSRV,Virus rugoso severo del tomate,Tomato severe rugose virus,Begomovirus,Geminiviridae,npi,segmentado,II,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
45,0,54,Tomato spotted wilt virus,TSWV,Virus del bronceado del tomate,Tomato spotted wilt virus,Tospovirus,Bunyaviridae,80-110 nm,segmentado,V,,,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
46,0,55,Tomato torrado virus,ToTV,Virus del torrado del tomate,Tomato torrado virus,Torradovirus,Secoviridae,,segmentado,IV,,,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
47,0,56,Tomato yellow leaf curl virus,TYLCV,Virus del rizo de la hoja amarilla del tomate,Tomato yellow leaf curl virus,Begomovirus,Geminiviridae,,sin segmentar,II,,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
48,0,57,Turnip yellows virus,TuYV,Virus amarillo del nabo,Turnip yellows virus,Polerovirus,Luteoviridae,,sin segmentar,IV,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
49,0,58,Tomato zonate spot virus,TZSV,Virus de la mancha zonada del tomate,Tomato zonate spot virus,Orthotospovirus,Bunyaviridae,,segmentado,V,,,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
50,0,59,Tomato yellow vein streak virus,ToYVSV,Virus del rayado de la vena amarilla del tomate,Tomato yellow vein streak virus,Begomovirus,Geminiviridae,,segmentado,II,,,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
51,0,60,Tomato yellow spot virus,ToYSV,Virus de la mancha amarilla del tomate,Tomato yellow spot virus,Begomovirus,Geminiviridae,,segmentado,II,,,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
52,0,61,Tomato yellow ring virus,TYRV,Virus del anillo amarillo del tomate,Tomato yellow ring virus,Tospovirus,Bunyaviridae,,segmentado,V,,,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
